designation,source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp
Gaia EDR3 5940951836463067392,5940951836463067392,250.3460914284958,-48.85288389010852,0.9966946837357095,0.26891175,3.7064006,1.484811925233824,0.30112663,-3.935580718123769,0.19718395,546.0724142948181,1.1744704,18.844242,76.55718511818279,5.2590213,20.628578,785.1186760146752,6.994706,17.510557,3.118021
Gaia EDR3 5940951973900609536,5940951973900609536,250.3059982580265,-48.8567663931856,0.6550316525926477,0.047010336,13.93378,-1.3672943045335055,0.051668245,-9.296235762968191,0.03442388,7025.453954569763,4.2376704,16.07068,2204.882733412553,35.1158,16.980078,8707.175734744473,426.29773,14.898202,2.0818758
Gaia EDR3 5940951973902020352,5940951973902020352,250.2920817670243,-48.85551713524547,0.8044549394001197,0.5010495,1.6055398,-8.414886135884865,0.56620234,-6.975926698560201,0.393526,526.3129538582238,1.4469014,18.884256,72.33973753449833,4.5922084,20.6901,1111.1531371146411,6.9570823,17.133461,3.5566387
Gaia EDR3 5940951973906970240,5940951973906970240,250.29865246714144,-48.85794812791501,0.4749387399559489,0.46693465,1.0171417,-3.3185783899609236,0.5865778,-6.215961699277829,0.3872382,201.00832160549245,0.6928741,19.92933,32.53223282473072,4.9043617,21.557758,305.272724113131,11.954196,18.536175,3.0215836
Gaia EDR3 5940951973906971008,5940951973906971008,250.30056581969254,-48.85787983839232,0.28768434957686667,0.40732965,0.70626915,-5.1689129052035785,0.4876397,-5.394321299720482,0.32096753,259.26120241425986,0.7119004,19.653023,38.95329956089131,4.18375,21.36218,338.4980852032112,4.805486,18.424006,2.9381752
Gaia EDR3 5940951973906975360,5940951973906975360,250.3106946392472,-48.859884756477314,0.005667151255760856,0.090359055,0.06271813,-4.637609674229849,0.10836447,-4.9142092579384995,0.072122134,2270.8532819156467,1.7318137,17.296894,217.52001680867124,4.1073847,19.494795,3389.7104723410657,8.504621,15.922489,3.5723057
Gaia EDR3 5940951978195626368,5940951978195626368,250.30404132767265,-48.85912060220303,3.3096949778726747,1.389238,2.3823817,1.8553395739590477,2.02104,-4.488036137855051,1.3057436,108.16434440209477,0.9157637,20.602156,119.46601490072807,51.158157,20.145432,314.87002864988426,80.34189,18.502567,1.6428642
Gaia EDR3 5940951978195643136,5940951978195643136,250.29603167728158,-48.85541052519473,1.587125259585129,0.5565029,2.8519623,-1.8770152393248383,0.689988,-0.561892458250699,0.44614294,200.3761017424364,0.93308,19.932753,88.11176817246445,7.3323455,20.475958,336.0965841188823,7.747291,18.431736,2.0442219
Gaia EDR3 5940951978195645184,5940951978195645184,250.29205276207824,-48.856548002836405,0.4968206237586472,0.42569524,1.1670805,-3.8848794981265278,0.5040986,-5.163853852174762,0.3622917,240.8499195415714,0.87876266,19.733,,,,,,,
Gaia EDR3 5940951978195645312,5940951978195645312,250.29264868844703,-48.85625996119694,0.814469899144581,0.602369,1.3521113,-2.932143935213041,0.666056,-4.369437185049417,0.47155455,354.0551709870128,1.7161672,19.31469,113.70932617661357,14.461626,20.199053,816.3083378196006,35.31922,17.46826,2.730793
Gaia EDR3 5940951978195646720,5940951978195646720,250.2931743340804,-48.85470514922127,2.874723522685168,0.6206499,4.631796,-7.311674731964225,0.7439193,-29.722714265498112,0.49973154,163.57052081156118,0.74161994,20.153105,35.26733793453014,5.5573196,21.47011,217.20607532770364,5.735349,18.905716,2.564394
Gaia EDR3 5940951978197415808,5940951978197415808,250.3053198239966,-48.85922544272608,0.7102977909580693,0.6117153,1.1611575,-5.111638031893484,0.6930192,-5.2427563046826915,0.45923334,157.86775329777248,0.68173736,20.191633,39.56151454112369,4.9436674,21.34536,194.031212971457,5.210906,19.028217,2.3171425
Gaia EDR3 5940951978197420544,5940951978197420544,250.29722960795473,-48.85396636092503,0.9383041894993419,0.5900697,1.5901582,-2.807377457179032,0.6660974,-6.673005461750345,0.43055835,167.29800332175574,0.7369947,20.12864,52.03394905687385,6.210271,21.047825,268.5985982701399,11.237749,18.675137,2.3726883
Gaia EDR3 5940951978197420800,5940951978197420800,250.29766890527287,-48.85146707638394,0.6281679898502263,0.23996931,2.6177013,-2.3422425584591604,0.27966064,-1.1095722193384612,0.18445094,523.024627206918,0.8669169,18.891062,140.15287615769145,5.010154,19.972036,698.3639499164301,7.397633,17.637691,2.3343449
Gaia EDR3 5940951978198199936,5940951978198199936,250.29609838015043,-48.85595786288602,3.2339521840116223,0.8562323,3.7769568,-1.611853011148747,1.1094998,-6.360329777806327,0.71650344,155.25854810054,0.8976166,20.209728,89.78094639888613,12.017486,20.455582,441.8418094569684,10.860583,18.13473,2.3208523
Gaia EDR3 5940951978198203648,5940951978198203648,250.30443203100356,-48.85950988028393,0.14657482590636187,0.70279175,0.20856082,-6.461806983592331,0.7650669,-5.687435218791981,0.51463425,155.8188456411705,0.72747403,20.205816,38.12879228765402,4.570286,21.38541,261.2133067662143,7.3881483,18.705408,2.6800022
Gaia EDR3 5940951978236658944,5940951978236658944,250.29662127117675,-48.858466839716606,0.2616362194471491,0.06375365,4.103863,-5.589319048261267,0.07435519,-4.918178179800864,0.050436925,4224.347952042414,2.0977757,16.622967,707.107623028003,4.8004723,18.214828,5440.178629151723,11.135609,15.408863,2.8059654
Gaia EDR3 5940951978236659200,5940951978236659200,250.2986591231355,-48.85697710964105,0.13878653169323174,0.26556128,0.52261585,-4.904477008352306,0.31909394,-5.705470613465653,0.21033832,396.68562645944365,0.78208494,19.19125,111.8304102168019,4.7646275,20.217142,435.5485505680538,5.2797384,18.150305,2.0668373
Gaia EDR3 5940951978236661504,5940951978236661504,250.2923214145982,-48.856253587258564,0.05365442549583667,0.8339714,0.06433605,-0.5722849685894501,0.8861437,-5.085486287058009,0.7742723,216.95533357579018,1.5826886,19.846441,,,,,,,
Gaia EDR3 5940951978237088384,5940951978237088384,250.30323027004366,-48.85483128355372,1.3930549554657183,0.111827336,12.457194,-7.769917894319026,0.13108404,-25.798063468550318,0.08616477,1453.1492954783967,1.3374193,17.781591,372.66195442483547,5.322712,18.910255,1684.3517201331015,5.6123505,16.681814,2.2284412
Gaia EDR3 5940951978237088512,5940951978237088512,250.29951641611905,-48.853963558412474,0.8701147194498728,0.016159512,53.845356,1.6069483640440274,0.01796312,-4.9050391712514845,0.012026201,130655.10787093248,20.330145,12.897051,68223.23038127187,24.203253,13.253712,90256.0309990311,23.33505,12.359205,0.89450645
Gaia EDR3 5940952008261006848,5940952008261006848,250.32842855926074,-48.854887601775125,0.45283611213758096,0.12390992,3.654559,-3.078009476648828,0.1422845,-3.5250323863820903,0.092438795,1797.5100865522531,1.6937494,17.550688,282.32273038692506,6.0762854,19.211678,2359.510122726636,9.41728,16.315842,2.8958359
Gaia EDR3 5940952008261007104,5940952008261007104,250.32164645791275,-48.8549168833716,0.997018535449093,0.11977121,8.324359,-5.189037309453821,0.13608287,-9.432720317024172,0.088582665,1377.2360766035758,1.304806,17.839846,342.59568990814364,5.6123514,19.001587,1615.3138282214945,7.547593,16.727253,2.274334
Gaia EDR3 5940952008261758336,5940952008261758336,250.31818018425403,-48.85817099599761,0.3114624673202234,0.10526662,2.958796,-2.2774735895496985,0.13137774,-3.227506742241189,0.08681698,1651.5431833392577,1.3811122,17.642643,388.44642879104975,5.194928,18.865215,1904.40103194623,7.411113,16.5485,2.3167152
Gaia EDR3 5940952012555355392,5940952012555355392,250.3231162294124,-48.8551750243889,0.543123332721405,0.36328933,1.4950159,-1.6554614788238278,0.4143397,-1.4483215469447535,0.2627388,340.0227914933454,0.81439286,19.358597,80.29551749895664,4.526356,20.576815,415.0950226745324,5.49033,18.202526,2.3742886
Gaia EDR3 5940952012555360000,5940952012555360000,250.32177845422433,-48.85419372067212,0.6325711533611834,0.30688012,2.0612972,-3.899254266813795,0.36349583,-4.347054967750263,0.22738944,381.7451685756842,0.9494823,19.232933,95.88125900739064,17.376932,20.384209,489.3421422538901,7.060192,18.023865,2.360344
