designation,source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp
Gaia EDR3 2006216439854564224,2006216439854564224,334.77148439190404,56.06849818940703,6.609628005234846,1.3301153,4.9692144,4.342180314363575,2.0038564,-1.0915779093778637,1.5156333,150.10762697156227,2.3531635,20.24636,,,,,,,
Gaia EDR3 2006215061171214720,2006215061171214720,334.6618084333282,56.055280654350646,1.2757593214066063,0.22375284,5.701645,7.03978749979404,0.26014766,4.194408692427379,0.22831927,343.49795697818405,0.8315777,19.347557,65.57266007441896,4.697766,20.796736,418.1902713580839,7.320545,18.19446,2.6022758
Gaia EDR3 2006215061172273792,2006215061172273792,334.67024551532063,56.06032223592733,0.25158577048295955,0.129141,1.9481479,-2.892980885753051,0.13913678,-2.983630893394065,0.13561903,670.0766594156465,0.9403118,18.622055,262.21386475790575,5.611313,19.291903,670.2139572260899,7.7046328,17.682362,1.6095409
Gaia EDR3 2006215061172371840,2006215061172371840,334.6673686651051,56.05930292437802,0.16198934019884956,0.29888275,0.5419829,-2.4605066325715086,0.5106328,-2.1118050682713636,0.47695535,296.4751597611882,6.767098,19.507397,47.85046412113197,5.694016,21.138826,499.21743824259244,32.60413,18.00217,3.1366558
Gaia EDR3 2006215061175552896,2006215061175552896,334.6716008444954,56.0523177018593,0.7576154265262013,0.6593587,1.1490186,-2.17526391475778,0.7288504,-2.9240808581308646,0.6849521,123.90223620603516,0.74690884,20.45467,35.09440901830202,4.922175,21.475447,149.24990620152968,8.445492,19.31311,2.1623363
Gaia EDR3 2006215065463898368,2006215065463898368,334.661630033496,56.05819653757575,0.5795610531385498,0.44106972,1.3139896,-4.834930894748868,0.45729575,-2.8496401145128805,0.4339926,180.37705253393517,0.76736635,20.046913,53.909316064036624,4.8019075,21.009382,143.61400276953648,6.0050774,19.354904,1.6544781
Gaia EDR3 2006215065466166528,2006215065466166528,334.67246345582276,56.062555684037534,0.30221569167224765,1.1723887,0.25777775,-4.601772139699465,1.2726552,-1.8285116249958602,1.030454,90.58189327951192,0.78180856,20.794764,37.90288049701848,5.726171,21.391861,101.09490049073361,10.3071,19.736073,1.6557884
Gaia EDR3 2006215065466166784,2006215065466166784,334.67388103006584,56.05881334156104,0.3033572684816793,0.73105067,0.41496065,-2.3378651628185456,0.7208458,-2.586551089338448,0.8235071,118.5412774888692,1.0992012,20.502693,75.54256822679068,9.489156,20.643063,238.23634300308012,6.7321925,18.805376,1.8376865
Gaia EDR3 2006215065479141632,2006215065479141632,334.6749347689838,56.05779817751065,0.24753957660950526,0.05547631,4.462077,0.08161943038241043,0.060527578,-0.8195224619470669,0.05729646,2589.1321852079104,1.6053253,17.154482,1044.4290247952608,9.658094,17.791346,2353.3846575515304,9.824108,16.318663,1.472683
Gaia EDR3 2006215065479142400,2006215065479142400,334.67336528802696,56.05529811229583,1.1686263596281463,0.06501275,17.97534,10.203049855188455,0.07049242,1.478352534826253,0.065891474,2194.627195387239,1.7689164,17.333965,630.0458290507661,6.614851,18.340113,2285.0746887533246,10.1325245,16.350645,1.9894676
Gaia EDR3 2006216817811109248,2006216817811109248,334.79601536427276,56.097143850079995,1.715841192768703,0.7384465,2.3235824,-2.510789107756727,0.7271944,-0.6034139513628392,0.9471807,119.97629376968641,0.9249421,20.489628,,,,,,,
Gaia EDR3 2006217122755411712,2006217122755411712,334.7934578622937,56.12908980945055,0.5550236688192642,0.010819958,51.29629,-2.3096684958711484,0.011533571,-3.6960407167197324,0.011044847,146114.4084551578,20.898977,12.775634,49472.74652922261,40.623318,13.602627,139937.366244182,40.47429,11.883061,1.7195654
Gaia EDR3 2006217122755573760,2006217122755573760,334.7928550406141,56.11757247582219,0.2733442176013672,0.074807756,3.6539557,-4.151693656921068,0.080749474,-1.551036591944865,0.085043974,1792.3753794314525,1.4964341,17.553795,680.9675551728593,6.953002,18.255726,1618.2437794254022,10.610778,16.725286,1.5304394
