designation,source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp
Gaia EDR3 413827005280318208,413827005280318208,19.926853342107755,58.198615059255594,1.0210557763986763,0.37450767,2.726395,-3.1223445544656188,0.32576954,-0.9596149337780517,0.3644596,205.83187921615476,0.53371054,19.903585,88.5495650005211,5.088204,20.470575,175.16186952538274,4.5049767,19.139297,1.3312778
Gaia EDR3 413827005284566528,413827005284566528,19.911040679310343,58.19851952910051,0.3481724711917687,0.067992456,5.1207514,-1.7126848138676622,0.053265303,-0.8436682307074379,0.061660826,2354.62878755205,1.5849855,17.25756,936.3536683339063,6.4740205,17.909943,2037.7962424011944,9.929897,16.474993,1.4349499
Gaia EDR3 413827009583061120,413827009583061120,19.91419437257417,58.19925012621304,0.13316236118782887,0.16438769,0.8100507,-1.048242907707399,0.13190754,-0.5070942902937642,0.14809711,612.1665899570937,0.7150044,18.720192,244.2679050792761,6.038277,19.368876,506.422504273288,5.4907365,17.986612,1.3822632
Gaia EDR3 413827009583061888,413827009583061888,19.911109373247726,58.19805817567756,0.9085796029830842,1.3006048,0.69858235,-4.145867701379334,1.4396281,-1.679377084731421,1.6423813,84.70620004981137,0.67865264,20.867579,,,,,,,
Gaia EDR3 413827245798621184,413827245798621184,19.987341977966015,58.21799422425733,0.3625039509771758,0.18740734,1.9343103,0.9881139091769624,0.1531919,-0.18399062041997094,0.18035309,541.8589150397187,0.84053063,18.852652,172.70475692069869,6.5851245,19.745281,521.1241180388673,9.668464,17.955544,1.7897377
Gaia EDR3 413827280158362880,413827280158362880,19.992977971025933,58.222778963398085,0.32499083727556505,0.08191566,3.9673834,-2.248043897816024,0.06791196,0.13446344782415215,0.079192564,1900.5472311918202,1.4807717,17.49017,766.7427742494501,10.509904,18.126919,1670.3260462480887,8.848204,16.690893,1.4360256
Gaia EDR3 413827284461413504,413827284461413504,19.991111652282573,58.21745285560068,0.4795691618360004,1.7726725,0.27053455,-3.0996446554282073,1.9628919,-0.5166339724212878,1.9429886,87.80272824658063,0.87368417,20.828596,61.04518035259665,7.8558226,20.874414,107.38158258376245,9.292771,19.67057,1.2038441
Gaia EDR3 413827353180436736,413827353180436736,19.96555223917397,58.208141867115444,0.3678658479339307,0.016935848,21.721134,-1.559763775228219,0.012922588,-0.8093743167213696,0.01562303,3.450705217201164E7,28051.223,6.842597,2.038186864335352E7,42970.63,7.065432,2.1294686472428795E7,51396.438,6.4272175,0.6382146
Gaia EDR3 413827318825680000,413827318825680000,19.946744839824532,58.2050761455867,0.37691136284004473,0.19751482,1.9082688,-0.813284403586003,0.17586337,0.3841393672618391,0.19183502,511.24064908913755,0.833582,18.915804,266.474931932947,22.65397,19.2744,485.51492232457673,18.422386,18.032389,1.242012
Gaia EDR3 413827348877818624,413827348877818624,19.959400465720048,58.20398912083987,0.476254541110438,0.079318784,6.0043097,0.22746828532040309,0.062725835,-1.201679098062449,0.07529075,1930.376087779361,1.2789931,17.473263,838.9111136008344,12.540537,18.029253,1728.1667582288285,14.601846,16.65393,1.3753223
